,id,geometry
358,8411894006,POINT (-76.5025608 38.9888952)
359,8411894011,POINT (-76.50236200000001 38.9887514)
360,102584596,POINT (-76.4941252 38.9753874)
361,102584598,POINT (-76.4932439 38.9765942)
362,102584600,POINT (-76.4927529 38.977203)
363,102584602,POINT (-76.4928712 38.9781312)
364,102584606,POINT (-76.49598159999999 38.9890221)
365,102584609,POINT (-76.4957362 38.988775)
366,102584611,POINT (-76.4956823 38.9887351)
367,102584613,POINT (-76.4950128 38.9883015)
368,102584615,POINT (-76.4940515 38.9876477)
369,102584617,POINT (-76.49295100000001 38.9869205)
370,102584619,POINT (-76.4926382 38.9867085)
371,102584621,POINT (-76.4907781 38.9855037)
372,102584641,POINT (-76.4943911 38.9889059)
373,102584646,POINT (-76.49312310000001 38.9878555)
374,10031944162,POINT (-76.4940738 38.9808572)
375,10031944163,POINT (-76.4941433 38.9807804)
376,10031944164,POINT (-76.49630999999999 38.9765734)
377,10031944168,POINT (-76.49349460000001 38.9767589)
378,10031944170,POINT (-76.4929274 38.9769054)
379,102552045,POINT (-76.4897136 38.9884869)
380,10137915981,POINT (-76.4857367 38.9858171)
381,102584924,POINT (-76.4875313 38.9791194)
382,102584926,POINT (-76.48864709999999 38.9789804)
383,102584927,POINT (-76.4890156 38.9789345)
384,102584929,POINT (-76.48989760000001 38.9788297)
385,9630733047,POINT (-76.5015393 38.9768777)
386,9630733064,POINT (-76.50226549999999 38.9782766)
387,102552334,POINT (-76.4778508 38.9822934)
388,9630733079,POINT (-76.50208550000001 38.9767289)
389,9630733081,POINT (-76.50231049999999 38.9765127)
390,9630733136,POINT (-76.5008251 38.976716)
391,102617954,POINT (-76.4924979 38.9868193)
392,102618080,POINT (-76.4904592 38.9809842)
393,102618085,POINT (-76.49201909999999 38.9795681)
394,102618087,POINT (-76.4929719 38.9787552)
395,102585562,POINT (-76.4927579 38.9746998)
396,102585565,POINT (-76.4917753 38.975602)
397,102585567,POINT (-76.490177 38.9774854)
398,768922849,POINT (-76.4942344 38.9808371)
399,102585569,POINT (-76.49005699999999 38.9778383)
400,102585566,POINT (-76.49146330000001 38.9758782)
401,768922855,POINT (-76.4948 38.9797166)
402,768922858,POINT (-76.492109 38.9794842)
403,102585916,POINT (-76.49731370000001 38.9869758)
404,102585917,POINT (-76.4980989 38.9881788)
405,7475385917,POINT (-76.4921512 38.9796492)
406,7475385916,POINT (-76.49222760000001 38.9795726)
407,10759362319,POINT (-76.4923953 38.9884811)
408,10759362320,POINT (-76.49307829999999 38.9886132)
409,10759362323,POINT (-76.4949953 38.9892463)
410,1304061750,POINT (-76.4847236 38.9789432)
411,3466680481,POINT (-76.4901076 38.9767373)
412,11869935913,POINT (-76.5019964 38.9927685)
413,768923999,POINT (-76.4829666 38.9778929)
414,102652281,POINT (-76.4899518 38.9786385)
415,102619678,POINT (-76.5019491 38.9723768)
416,102619680,POINT (-76.50231290000001 38.9731217)
417,102619682,POINT (-76.5026828 38.9738996)
418,102619684,POINT (-76.5027118 38.9739629)
419,102619685,POINT (-76.50305400000001 38.9747041)
420,506036944,POINT (-76.4923338 38.9783366)
421,102587075,POINT (-76.5015867 38.9882237)
422,102587077,POINT (-76.5030435 38.9892443)
423,102587078,POINT (-76.5042596 38.9901081)
424,7308532659,POINT (-76.4922289 38.9785756)
